year,category,prizeShare,fullName,gender,born,bornCountry,bornCity,age_received,organizationName,organizationCountry,organizationCity,,
2006,medicine,2,Craig C. Mello,male,1960,USA,New Haven CT,46,University of Massachusetts Medical School,USA,Worcester MA,,
2006,medicine,2,Andrew Z. Fire,male,1959,USA,Stanford CA,47,Stanford University School of Medicine,USA,Stanford CA,,
2005,chemistry,3,Yves Chauvin,male,1930,Belgium,Menin,75,French Institute of Petroleum,France,Rueil-Malmaison,,
2005,literature,1,Harold Pinter,male,1930,United Kingdom,London,75,,,,,
2005,economics,2,Thomas C. Schelling,male,1921,USA,Oakland CA,84,University of Maryland Department of Economics and School of Public Policy,USA,College Park MD,,
2005,economics,2,Robert J. Aumann,male,1930,Germany,Frankfurt-on-the-Main,75,University of Jerusalem Center for RationalityHebrew,Israel,Jerusalem,,
2005,peace,2,Mohamed ElBaradei,male,1942,Egypt,Cairo,63,,,,,
2005,peace,2,International Atomic Energy Agency ,organisation,1957,,,48,,,,,
2005,chemistry,3,Richard R. Schrock,male,1945,USA,Berne IN,60,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,,
2005,chemistry,3,Robert H. Grubbs,male,1942,USA,Possum Trot KY,63,California Institute of Technology (Caltech),USA,Pasadena CA,,
2005,physics,4,Theodor W. Hansch,male,1941,Germany,Heidelberg,64,Max Planck Institute of Quantum Optics,Germany,Garching,,
2005,physics,4,John L. Hall,male,1934,USA,Denver CO,71,University of Colorado JILA,USA,Boulder CO,,
2005,physics,2,Roy J. Glauber,male,1925,USA,New York NY,80,Harvard University,USA,Cambridge MA,,
2005,medicine,2,J. Robin Warren,male,1937,Australia,Adelaide,68,,,,,
2005,medicine,2,Barry J. Marshall,male,1951,Australia,Kalgoorlie,54,NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre,Australia,Nedlands,,
2004,literature,1,Elfriede Jelinek,female,1946,Austria,Murzzuschlag,58,,,,,
2004,economics,2,Edward C. Prescott,male,1940,USA,Glens Falls NY,64,Arizona State University,USA,Tempe AZ,,
2004,economics,2,Finn E. Kydland,male,1943,Norway,Gjesdal,61,Carnegie Mellon University,USA,Pittsburgh PA,,
2004,peace,1,Wangari Maathai,female,1940,Kenya,Nyeri,64,,,,,
2004,chemistry,3,Irwin Rose,male,1926,USA,Brooklyn NY,78,University of California,USA,Irvine CA,,
2004,chemistry,3,Avram Hershko,male,1937,Hungary,Karcag,67,Technion - Israel Institute of Technology,Israel,Haifa,,
2004,chemistry,3,Aaron Ciechanover,male,1947,Israel,Haifa,57,Technion - Israel Institute of Technology,Israel,Haifa,,
2004,physics,3,Frank Wilczek,male,1951,USA,New York NY,53,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,,
2004,physics,3,H. David Politzer,male,1949,USA,New York NY,55,California Institute of Technology (Caltech),USA,Pasadena CA,,
2004,physics,3,David J. Gross,male,1941,USA,Washington D.C.,63,University of California Kavli Institute for Theoretical Physics,USA,Santa Barbara CA,,
2004,medicine,2,Linda B. Buck,female,1947,USA,Seattle WA,57,Fred Hutchinson Cancer Research Center,USA,Seattle WA,,
2004,medicine,2,Richard Axel,male,1946,USA,New York NY,58,Columbia University,USA,New York NY,,
2003,peace,1,Shirin Ebadi,female,1947,Iran,Hamadan,56,,,,,
2003,economics,2,Clive W.J. Granger,male,1934,United Kingdom,Swansea,69,University of California,USA,San Diego CA,,
2003,economics,2,Robert F. Engle III,male,1942,USA,Syracuse NY,61,New York University,USA,New York NY,,
2003,chemistry,2,Roderick MacKinnon,male,1956,USA,Burlington MA,47,Rockefeller University,USA,New York NY,,
2003,chemistry,2,Peter Agre,male,1949,USA,Northfield MN,54,Johns Hopkins University School of Medicine,USA,Baltimore MD,,
2003,physics,3,Anthony J. Leggett,male,1938,United Kingdom,London,65,University of Illinois,USA,Urbana IL,,
2003,physics,3,Vitaly L. Ginzburg,male,1916,Russia,Moscow,87,P.N. Lebedev Physical Institute,Russia,Moscow,,
2003,physics,3,Alexei Abrikosov,male,1928,Russia,Moscow,75,Argonne National Laboratory,USA,Argonne IL,,
